pair,method,file,seed,relays,width,height,iteration,evaluation,best_fitness
16,PSO,2026-09-23_04-39-48.log,747263,2,500.0,500.0,6,130,0.383333
16,PSO,2026-09-23_04-39-48.log,747263,2,500.0,500.0,8,164,0.386111
16,PSO,2026-09-23_04-39-48.log,747263,2,500.0,500.0,8,169,0.388889
16,PSO,2026-09-23_04-39-48.log,747263,2,500.0,500.0,13,269,0.391667
16,PSO,2026-09-23_04-39-48.log,747263,2,500.0,500.0,15,309,0.397222
16,Naive,2026-09-23_04-49-10.log,,167,,,0,1,0.191667
16,Naive,2026-09-23_04-49-10.log,,167,,,1,2,0.194444
16,Naive,2026-09-23_04-49-10.log,,167,,,4,5,0.275
16,Naive,2026-09-23_04-49-10.log,,167,,,8,9,0.297222
16,Naive,2026-09-23_04-49-10.log,,167,,,72,73,0.372222
17,PSO,2026-09-23_04-57-03.log,677807,2,500.0,500.0,0,1,0.230556
17,PSO,2026-09-23_04-57-03.log,677807,2,500.0,500.0,0,4,0.238889
17,PSO,2026-09-23_04-57-03.log,677807,2,500.0,500.0,0,6,0.311111
17,PSO,2026-09-23_04-57-03.log,677807,2,500.0,500.0,0,7,0.319444
17,PSO,2026-09-23_04-57-03.log,677807,2,500.0,500.0,0,11,0.330556
17,PSO,2026-09-23_04-57-03.log,677807,2,500.0,500.0,1,25,0.333333
17,PSO,2026-09-23_04-57-03.log,677807,2,500.0,500.0,1,36,0.336111
17,PSO,2026-09-23_04-57-03.log,677807,2,500.0,500.0,2,41,0.347222
17,PSO,2026-09-23_04-57-03.log,677807,2,500.0,500.0,3,67,0.355556
17,PSO,2026-09-23_04-57-03.log,677807,2,500.0,500.0,4,88,0.361111
17,Naive,2026-09-23_05-06-13.log,,114,,,0,1,0.230556
17,Naive,2026-09-23_05-06-13.log,,114,,,3,4,0.238889
17,Naive,2026-09-23_05-06-13.log,,114,,,5,6,0.311111
17,Naive,2026-09-23_05-06-13.log,,114,,,6,7,0.319444
17,Naive,2026-09-23_05-06-13.log,,114,,,10,11,0.330556
17,Naive,2026-09-23_05-06-13.log,,114,,,66,67,0.333333
17,Naive,2026-09-23_05-06-13.log,,114,,,118,119,0.352778
18,PSO,2026-09-23_05-14-23.log,806219,2,500.0,500.0,0,1,0.102778
18,PSO,2026-09-23_05-14-23.log,806219,2,500.0,500.0,0,2,0.241667
18,PSO,2026-09-23_05-14-23.log,806219,2,500.0,500.0,0,3,0.277778
18,PSO,2026-09-23_05-14-23.log,806219,2,500.0,500.0,0,5,0.283333
18,PSO,2026-09-23_05-14-23.log,806219,2,500.0,500.0,0,12,0.291667
18,PSO,2026-09-23_05-14-23.log,806219,2,500.0,500.0,1,26,0.297222
18,PSO,2026-09-23_05-14-23.log,806219,2,500.0,500.0,3,65,0.308333
18,PSO,2026-09-23_05-14-23.log,806219,2,500.0,500.0,4,81,0.316667
18,PSO,2026-09-23_05-14-23.log,806219,2,500.0,500.0,6,121,0.322222
18,PSO,2026-09-23_05-14-23.log,806219,2,500.0,500.0,11,234,0.325
18,PSO,2026-09-23_05-14-23.log,806219,2,500.0,500.0,13,261,0.327778
18,PSO,2026-09-23_05-14-23.log,806219,2,500.0,500.0,14,291,0.333333
